"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 07 18:46:43 GMT 2023","Fri Apr 07 18:46:43 GMT 2023","254","","tests.TestSmoke","","tests.TestSmoke","sort","sort()",""
"broken","Fri Apr 07 18:46:42 GMT 2023","Fri Apr 07 18:46:42 GMT 2023","295","","tests.TestSmoke","","tests.TestSmoke","search","search()",""
"passed","Fri Apr 07 18:46:39 GMT 2023","Fri Apr 07 18:46:48 GMT 2023","8472","","tests.TestSmoke","","tests.TestSmoke","newCustomer","newCustomer()",""
"passed","Fri Apr 07 18:46:39 GMT 2023","Fri Apr 07 18:46:49 GMT 2023","9232","","tests.TestSmoke","","tests.TestSmoke","openAccount","openAccount()",""
"broken","Fri Apr 07 18:46:43 GMT 2023","Fri Apr 07 18:46:43 GMT 2023","382","","tests.TestSmoke","","tests.TestSmoke","duplicate","duplicate()",""
