"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 07 14:54:05 GMT 2023","Fri Apr 07 14:54:11 GMT 2023","5830","","tests.TestSmoke","","tests.TestSmoke","newCustomer","newCustomer()",""
"broken","Fri Apr 07 14:54:07 GMT 2023","Fri Apr 07 14:54:07 GMT 2023","311","","tests.TestSmoke","","tests.TestSmoke","search","search()",""
"passed","Fri Apr 07 14:54:05 GMT 2023","Fri Apr 07 14:54:12 GMT 2023","6472","","tests.TestSmoke","","tests.TestSmoke","openAccount","openAccount()",""
"broken","Fri Apr 07 14:54:07 GMT 2023","Fri Apr 07 14:54:07 GMT 2023","132","","tests.TestSmoke","","tests.TestSmoke","sort","sort()",""
"broken","Fri Apr 07 14:54:07 GMT 2023","Fri Apr 07 14:54:07 GMT 2023","81","","tests.TestSmoke","","tests.TestSmoke","duplicate","duplicate()",""
