"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тестирование API XYZ банк","Добавление нового пользователя","Добавление пользователя-дубликата","0","1","0","0","0"
"Тестирование API XYZ банк","Добавление нового пользователя","Добавление пользователя Петя Петров","0","1","0","0","0"
"Тестирование API XYZ банк","Сортировка поисковой выдачи","Сортировка клиентов по имени","0","1","0","0","0"
"Тестирование API XYZ банк","Открытие счета","Открытие счета для пользователя Hermoine Granger","0","1","0","0","0"
"Тестирование API XYZ банк","Поиск клиентов","Поиск клиента Harry по имени","0","1","0","0","0"
