"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 11:59:35 GMT 2023","Sat Apr 08 11:59:41 GMT 2023","5832","","tests.TestSmoke","","tests.TestSmoke","openAccount","openAccount()",""
"passed","Sat Apr 08 11:59:35 GMT 2023","Sat Apr 08 11:59:41 GMT 2023","5461","","tests.TestSmoke","","tests.TestSmoke","newCustomer","newCustomer()",""
"broken","Sat Apr 08 11:59:38 GMT 2023","Sat Apr 08 11:59:38 GMT 2023","137","","tests.TestSmoke","","tests.TestSmoke","sort","sort()",""
"broken","Sat Apr 08 11:59:38 GMT 2023","Sat Apr 08 11:59:38 GMT 2023","245","","tests.TestSmoke","","tests.TestSmoke","duplicate","duplicate()",""
"broken","Sat Apr 08 11:59:38 GMT 2023","Sat Apr 08 11:59:38 GMT 2023","319","","tests.TestSmoke","","tests.TestSmoke","search","search()",""
