"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 02 10:57:23 GMT 2023","Sun Apr 02 10:57:23 GMT 2023","194","","tests.TestSmoke","","tests.TestSmoke","duplicate","duplicate()",""
"broken","Sun Apr 02 10:57:22 GMT 2023","Sun Apr 02 10:57:23 GMT 2023","219","","tests.TestSmoke","","tests.TestSmoke","sort","sort()",""
"broken","Sun Apr 02 10:57:22 GMT 2023","Sun Apr 02 10:57:22 GMT 2023","240","","tests.TestSmoke","","tests.TestSmoke","search","search()",""
"broken","Sun Apr 02 10:57:19 GMT 2023","Sun Apr 02 10:57:24 GMT 2023","4680","","tests.TestSmoke","","tests.TestSmoke","newCustomer","newCustomer()",""
"broken","Sun Apr 02 10:57:19 GMT 2023","Sun Apr 02 10:57:24 GMT 2023","4670","","tests.TestSmoke","","tests.TestSmoke","openAccount","openAccount()",""
