"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 18:24:21 GMT 2023","Thu Mar 30 18:24:26 GMT 2023","5192","","tests.TestSmoke","","tests.TestSmoke","newCustomer","newCustomer()",""
"broken","Thu Mar 30 18:24:24 GMT 2023","Thu Mar 30 18:24:25 GMT 2023","183","","tests.TestSmoke","","tests.TestSmoke","search","search()",""
"broken","Thu Mar 30 18:24:25 GMT 2023","Thu Mar 30 18:24:25 GMT 2023","288","","tests.TestSmoke","","tests.TestSmoke","sort","sort()",""
"broken","Thu Mar 30 18:24:21 GMT 2023","Thu Mar 30 18:24:26 GMT 2023","5188","","tests.TestSmoke","","tests.TestSmoke","openAccount","openAccount()",""
"broken","Thu Mar 30 18:24:25 GMT 2023","Thu Mar 30 18:24:25 GMT 2023","260","","tests.TestSmoke","","tests.TestSmoke","duplicate","duplicate()",""
