"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 02 13:13:44 GMT 2023","Sun Apr 02 13:13:45 GMT 2023","131","","tests.TestSmoke","","tests.TestSmoke","duplicate","duplicate()",""
"broken","Sun Apr 02 13:13:41 GMT 2023","Sun Apr 02 13:13:51 GMT 2023","9197","","tests.TestSmoke","","tests.TestSmoke","newCustomer","newCustomer()",""
"broken","Sun Apr 02 13:13:44 GMT 2023","Sun Apr 02 13:13:44 GMT 2023","178","","tests.TestSmoke","","tests.TestSmoke","search","search()",""
"broken","Sun Apr 02 13:13:44 GMT 2023","Sun Apr 02 13:13:44 GMT 2023","266","","tests.TestSmoke","","tests.TestSmoke","sort","sort()",""
"broken","Sun Apr 02 13:13:41 GMT 2023","Sun Apr 02 13:13:51 GMT 2023","9207","","tests.TestSmoke","","tests.TestSmoke","openAccount","openAccount()",""
