"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 07 16:24:58 GMT 2023","Fri Apr 07 16:25:01 GMT 2023","2211","","tests.TestSmoke","","tests.TestSmoke","search","search()",""
"broken","Fri Apr 07 16:24:58 GMT 2023","Fri Apr 07 16:25:01 GMT 2023","2474","","tests.TestSmoke","","tests.TestSmoke","duplicate","duplicate()",""
"broken","Fri Apr 07 16:24:57 GMT 2023","Fri Apr 07 16:25:01 GMT 2023","3769","","tests.TestSmoke","","tests.TestSmoke","openAccount","openAccount()",""
"broken","Fri Apr 07 16:24:57 GMT 2023","Fri Apr 07 16:25:01 GMT 2023","4305","","tests.TestSmoke","","tests.TestSmoke","newCustomer","newCustomer()",""
"broken","Fri Apr 07 16:24:58 GMT 2023","Fri Apr 07 16:25:01 GMT 2023","2713","","tests.TestSmoke","","tests.TestSmoke","sort","sort()",""
