"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 02 10:58:36 GMT 2023","Sun Apr 02 10:58:37 GMT 2023","803","","tests.TestSmoke","","tests.TestSmoke","newCustomer","newCustomer()",""
"broken","Sun Apr 02 10:58:36 GMT 2023","Sun Apr 02 10:58:37 GMT 2023","794","","tests.TestSmoke","","tests.TestSmoke","openAccount","openAccount()",""
"broken","Sun Apr 02 10:58:37 GMT 2023","Sun Apr 02 10:58:37 GMT 2023","144","","tests.TestSmoke","","tests.TestSmoke","search","search()",""
"broken","Sun Apr 02 10:58:37 GMT 2023","Sun Apr 02 10:58:37 GMT 2023","137","","tests.TestSmoke","","tests.TestSmoke","sort","sort()",""
"broken","Sun Apr 02 10:58:37 GMT 2023","Sun Apr 02 10:58:37 GMT 2023","152","","tests.TestSmoke","","tests.TestSmoke","duplicate","duplicate()",""
